FID,Lat,Lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
153,24.510668,55.598762,0.1478,0.2238,0.3300,0.3715,0.3918,0.4119,0.4252,0.4297,0.5426,0.4992
154,24.513382,55.610172,0.1470,0.2278,0.3212,0.3823,0.4039,0.4254,0.4296,0.4386,0.5515,0.5103
155,24.531047,55.623457,0.1264,0.1774,0.2352,0.2766,0.3091,0.3448,0.3638,0.3750,0.4590,0.3674
156,24.519732,55.642657,0.1704,0.2400,0.3300,0.3647,0.3731,0.3946,0.4052,0.4092,0.5451,0.5035
157,24.506859,55.652056,0.1570,0.2386,0.3598,0.3986,0.4149,0.4358,0.4456,0.4495,0.5607,0.5242
158,24.514702,55.679052,0.1422,0.2114,0.3112,0.3861,0.3934,0.4093,0.3952,0.4153,0.5141,0.4819
160,24.534370,55.651345,0.2008,0.2798,0.3726,0.4081,0.4093,0.4264,0.4312,0.4393,0.5433,0.5049
161,24.545297,55.751235,0.1362,0.1834,0.2310,0.2631,0.3162,0.3538,0.3648,0.3702,0.3612,0.3036
162,24.546264,55.752585,0.0933,0.1294,0.1401,0.1708,0.2738,0.3257,0.3384,0.3410,0.2471,0.1702
163,24.543276,55.747537,0.1096,0.1582,0.2020,0.2494,0.3361,0.3825,0.3970,0.3989,0.3649,0.3116
164,24.216931,55.741606,0.0763,0.1116,0.1070,0.1374,0.2407,0.2933,0.3050,0.3106,0.1808,0.1171
165,24.218016,55.742667,0.0543,0.0800,0.0775,0.1081,0.2047,0.2494,0.2591,0.2691,0.1490,0.0934
166,24.215612,55.742521,0.0613,0.0917,0.0850,0.1243,0.2331,0.2819,0.2950,0.2982,0.1708,0.1091
167,24.215878,55.739703,0.1527,0.2179,0.2803,0.2643,0.3074,0.3360,0.3520,0.3461,0.3276,0.2816
168,24.215878,55.739703,0.1527,0.2179,0.2803,0.2643,0.3074,0.3360,0.3520,0.3461,0.3276,0.2816
169,24.214030,55.771637,0.0677,0.0937,0.0895,0.1286,0.2446,0.3071,0.3234,0.3293,0.1697,0.1054
